2106211,新北市五股區成泰路一段7巷,25.0670255,121.4327816,698,22.68,3,2,2,21,5,5,公寓,, ,30.77,24.47,0.11,0, ,
2109930,新北市淡水區濱海路一段,25.1899397,121.4439959,1999,30.39,3,2,2,,11,14,電梯大樓,,坐南朝北,56.56,38.09,0.24,1,微笑莊園,
2116958,新北市汐止區長江街13巷,25.0727874,121.6552325,988,32.21,4,2,3,34,4,4,公寓,,坐北朝南,30.68,27.442, ,0, ,
2123120,新北市板橋區中山路465巷,25.0213750,121.4805840,1096,68.5,4,2,2,30,1,4,公寓,, ,16,13.36, ,0, ,
2134336,新北市淡水區新市一路一段46號,25.1869812,121.4302754,820,24.12,3,2,2,3,7,19,電梯大樓,, ,34, , ,1,台北灣-觀海,
2135957,新北市五股區新城八路,25.0914826,121.4455851,1600,35.88,3,2,2,1,12,15,電梯大樓,,坐北朝南,39.3, , ,1,合新New,
2139661,新北市三峽區國慶路,24.9402052,121.3732858,1050,28.55,2,2,1,8,13,15,電梯大樓,, ,36.78,18.071, ,1,太子國際村,
2148370,新北市三重區福德南路,25.0624816,121.5022096,1500,41.43,4,1,2,20,3,12,電梯大樓,,坐北朝南,36.21, , ,0,台北星鑽,
2152648,新北市鶯歌區高職西街,24.9430064,121.3380440,870,26.45,2,2,1,2,6,10,電梯大樓,,坐東南朝西北,32.89, , ,1,悅讀MIHO,
2152710,新北市林口區文化三路一段39巷958228314號,25.0678877,121.3611755,2090,42.98,3,2,2,,7,33,電梯大樓,, ,43.97,25.06,0.33,1,晴空樹,
2167285,新北市五股區新五路二段,25.0777140,121.4377933,968,39.7,2,2,1,1,9,15,電梯大樓,, ,24.38,13.91,0.34,0,全坤尊峰,
2168073,新北市林口區文化二路一段,25.0706090,121.3671578,1750,45.93,3,2,2,8,8,14,電梯大樓,,坐西北朝東南,48.07,19.04,0.27,1,亞昕101,
2168713,新北市淡水區新春街,25.1827410,121.4417212,1280,21.42,4,2,2,1,4,17,電梯大樓,,坐南朝北,59.75,29.91,0.31,1,丰悅夏宮,
2169613,新北市板橋區館前東路,25.0077034,121.4626980,1388,47.76,3,2,2,31,9,11,電梯大樓,,坐南朝北,29.06,20.57,0.14,0, ,
2173310,新北市林口區文化二路二段,25.0802383,121.3776293,2588,41.42,4,2,3,3,19,19,電梯大樓,, ,66.33,35.53,0.3,1,新北郡,
2176303,新北市中和區景新街,24.9983489,121.505042,1338,62.76,2,2,1,,14,36,電梯大樓,, ,21.32,12.72,0.33,0,台北時尚,
2178159,新北市汐止區明峰街,25.0702623,121.6306168,2980,38.05,4,2,2,2,11,24,電梯大樓,,坐南朝北,78.01,37.58,0.39,1,仰大湖,
2178375,新北市新店區國校路,24.9549016,121.5393149,1666,35.02,3,2,2,30,5,7,電梯大樓,,坐北朝南,47.57,34.15,0.15,0, ,
2180238,新北市汐止區中興路171號,25.0672373,121.6316106,1780,51.83,3,2,1,,11,15,電梯大樓,,坐西朝東,38.34, , ,1,隱馥玉,
2180244,新北市汐止區伯爵街53巷,25.0817490,121.6376620,1268,30.16,3,2,2,8,7,7,電梯大樓,,坐西南朝東北,42.04,27.42,0.26,0,新經典伯爵一期,
2182800,新北市新莊區中央路,25.0581835,121.4514053,1020,61.78,1,1,1,,12,24,電梯大樓,,坐東南朝西北,16.51,9.55,0.33,0,宏普AMAX,
2182871,新北市板橋區新府路,25.0117542,121.4628192,1188,80.82,1,1,1,6,16,24,電梯大樓,, ,14.7,8.75,0.36,0,超級F1,
2185722,新北市新店區安康路二段,24.9634986,121.5136216,1580,42.7,3,2,2,3,4,15,電梯大樓,,坐北朝南,37, , ,0,北城心殿,
2186324,新北市新店區中興路一段,24.9640211,121.5420972,2380,61.21,3,2,1,15,14,20,電梯大樓,,坐西南朝東北,45.97,25.14,0.21,1,潤泰遠景21,
2187664,新北市土城區中州路30巷,24.957759,121.41341,1480,27.47,3,2,2,2,3,19,電梯大樓,, ,53.88,26.32,0.29,1,京美,
2190798,新北市新店區寶橋路,24.9744530,121.5453244,2488,58.25,3,2,2,1,7,23,電梯大樓,, ,39.28,27.78, ,1,玉上園,
2191244,新北市板橋區縣民大道三段,25.0239664,121.4785521,1083,39.96,3,1,1,30,2,5,公寓,, ,27.1,27.1, ,0, ,
2191672,新北市淡水區濱海路二段88號,25.1910242,121.4355023,2017,33.81,4,2,2,,2,7,電梯大樓,, ,59.66, , ,0,天藝,
2191930,新北市五股區新五路三段,25.0821656,121.4402483,1587,31.96,3,2,2,,11,19,電梯大樓,, ,49.66, , ,1,上河園,
2198126,新北市永和區成功路,25.0023446,121.5278031,1998,53.96,3,2,2,9,4,27,電梯大樓,,坐東朝西,37.03,24.82,0.24,0,銀河水都,
2198466,新北市新店區五峰路63巷,24.9699588,121.5470149,785,31.58,3,2,1,29,1,5,公寓,,坐南朝北,24.86,22.4, ,0, ,
2199310,新北市板橋區吳鳳路50巷,25.0296306,121.4695673,3850,68.97,4,2,2,,13,17,電梯大樓,,坐西北朝東南,52.2,32.72,0.28,1,全陽圓,
2200492,新北市中和區景平路,24.9958798,121.5023108,2333,60.95,3,2,2,,2,12,電梯大樓,, ,38.28, , ,0,景安南華,
2201716,新北市土城區學成路100號,24.9885332,121.4495692,1500,50.93,2,2,1,,12,27,電梯大樓,, ,29.45,16.83,0.34,0,華固新綠州,
2202547,新北市永和區環河東路二段,25.0111871,121.5235913,2100,60.34,2,2,2,20,14,16,電梯大樓,,坐西南朝東北,34.8,27.54,0.11,0,台大綠灣,
2204060,新北市汐止區勤進路419巷8號,25.0626729,121.6606553,988,20.47,3,2,2,19,2,10,電梯大樓,,坐南朝北,44.23,29.016,0.25,1,合家歡,
2209627,新北市中和區忠孝街19巷,24.9847459,121.5094580,1120,34.62,4,1,4,37,5,5,公寓,,坐西南朝東北,32.35, , ,0, ,
2209842,新北市林口區南勢三街,25.0852704,121.3845549,677,35.35,2,2,1,,3,8,電梯大樓,,坐西南朝東北,28.48,11.72,0.34,1,美麗莊園,
2210659,新北市汐止區湖前街110巷,25.0777070,121.6302990,1020,42.08,2,1,1,16,4,25,電梯大樓,,坐西南朝東北,24.24,15.2,0.25,0,水蓮山莊,
2217897,新北市中和區健康路230號,24.9995605,121.4880326,1762,53.77,2,2,1,,22,29,電梯大樓,,坐西南朝東北,39.91,16.93,0.33,1,映象太和,
2218471,新北市林口區文化二路一段,25.0742165,121.3711455,2730,31.58,4,2,2,6,13,17,電梯大樓,,坐東南朝西北,86.45,47.67,0.35,1,公園大道,
2221922,新北市板橋區五權街1-8號,24.99383,121.4645669,1780,53.23,2,2,1,2,4,12,電梯大樓,,坐東北朝西南,33.44, , ,1,勝輝築苑,
2231638,新北市三重區重新路四段,25.0551425,121.4867198,1880,39.57,3,2,2,14,3,14,電梯大樓,,坐西南朝東北,47.51,27.681,0.2,1,歐風名家,
2232333,新北市五股區新城八路,25.0883658,121.4456259,1358,57.56,2,1,1,,4,19,電梯大樓,, ,28.96,17.31,0.31,1,上河園,
2234309,新北市三重區重新路四段,25.0542412,121.4854736,1788,48.02,3,2,2,10,3,14,電梯大樓,,坐西北朝東南,39.61, , ,1,麗緻花園,
2235574,新北市淡水區新市一路三段,25.1822429,121.4455889,1298,21.45,4,2,2,7,15,15,電梯大樓,,坐北朝南,60.5,33.18,0.28,1,普羅旺斯,
2237818,新北市鶯歌區中正一路345巷,24.9541936,121.3524761,2680,32.32,5,2,4,3,整棟,5,透天厝,, ,82.93, , ,1, ,
2243327,新北市土城區福仁街,24.9761360,121.4407721,2950,46.83,7,,7,18,1,7,電梯大樓,,坐西南朝東北,62.99,38.35,0.32,1,歐洲村,
2245651,新北市新莊區中央路,25.0579518,121.4512027,1480,64.07,2,1,1,,6,24,電梯大樓,, ,23.1, , ,0,宏普AMAX,
2246361,新北市林口區文化二路68巷,25.0652194,121.3636614,1080,34.26,4,2,2,19,9,9,電梯大樓,, ,31.52, , ,1,凱旋世界,
2256390,新北市汐止區宜興街59巷,25.0412290,121.6209861,1150,35.94,3,2,2,19,9,11,電梯大樓,, ,32,24.37,0.14,0,名人觀邸,
